SEX	ANTISOCS	MATERS	CONVENS	ANTISOCO	MATERO	CONVENO	AGE
0	1.22222220897675	2.33333325386047	4	2.22222232818604	3.33333325386047	3	17.2363014221191
0	1.22222220897675	1.66666662693024	2.59999990463257	1.22222220897675	2	2.20000004768372	9.81963443756104
0	1.44444441795349	4	3	1.33333337306976	3.33333325386047	3.40000009536743	12.1200914382935
0	1.22222220897675	3.33333325386047	3.40000009536743	1.77777779102325	3.66666674613953	3.20000004768372	14.747260093689
1	1.11111116409302	3	2.59999990463257	1.44444441795349	3	2.59999990463257	14
1	2.66666674613953	4	3	2.77777767181397	3.33333325386047	2.59999990463257	18.0586757659912
0	1.66666662693024	2.66666674613953	4	3	3.33333325386047	2.79999995231628	16.3892688751221
0	1.44444441795349	2.66666674613953	3.79999995231628	1.88888883590698	2.33333325386047	3.20000004768372	18.7621002197266
0	2	2.66666674613953	3.59999990463257	1.66666662693024	2.66666674613953	3.40000009536743	16.4424648284912
1	2.55555558204651	4	3.40000009536743	2.44444441795349	2.66666674613953	2.20000004768372	10.8372144699097
1	1.22222220897675	3	3.59999990463257	1.66666662693024	3	3	11.0504570007324
1	1.44444441795349	3.33333325386047	2.59999990463257	2.66666674613953	4	2.59999990463257	13.7812786102295
1	2.22222232818604	3.66666674613953	3.20000004768372	2.66666674613953	3.33333325386047	2.59999990463257	15
1	1.55555558204651	3	3	1.33333337306976	2.33333325386047	1.79999995231628	14.905707359314
0	1.11111116409302	2	3.40000009536743	2.33333325386047	3	3.59999990463257	17.3317356109619
0	2	2.66666674613953	3.20000004768372	2.66666674613953	3	2.20000004768372	15.5230588912964
0	1.44444441795349	2.66666674613953	3.40000009536743	2.11111116409302	3.33333325386047	3.59999990463257	12.8947486877441
0	1.33333337306976	3	2.79999995231628	3.22222232818604	3.33333325386047	2.40000009536743	15.3563928604126
0	1.88888883590698	2	2.79999995231628	2.77777767181397	3	3.20000004768372	16.2675800323486
0	1.44444441795349	4	3.59999990463257	2.77777767181397	4	3	18.6529674530029
0	1.11111116409302	3.66666674613953	4	2.77777767181397	4	3.40000009536743	16.5038814544678
1	2.11111116409302	3	3	2.77777767181397	3.66666674613953	2.79999995231628	19.1869869232178
0	1.33333337306976	4	3.40000009536743	1.66666662693024	4	3.40000009536743	17.8141555786133
1	1.22222220897675	4	3.59999990463257	2	3.66666674613953	3.40000009536743	16.6392688751221
0	1.33333337306976	3.66666674613953	3.40000009536743	1.88888883590698	4	2.59999990463257	16.6787662506104
0	1.66666662693024	4	3.79999995231628	1.77777779102325	4	2.59999990463257	14.5586757659912
0	1.77777779102325	3.66666674613953	3.79999995231628	1.77777779102325	3.66666674613953	3.59999990463257	16.4808216094971
1	1.66666662693024	3.66666674613953	3	2.66666674613953	3	2.59999990463257	10.3305940628052
1	2	3	3.40000009536743	2.22222232818604	2.66666674613953	3.40000009536743	10.1283102035522
1	1	2.66666674613953	2.79999995231628	1.22222220897675	2.66666674613953	3.40000009536743	11.5981731414795
0	1.11111116409302	2.33333325386047	3	1.33333337306976	3	2.79999995231628	12.3086757659912
1	1.44444441795349	3.33333325386047	3.40000009536743	1.11111116409302	3	3	18.5559368133545
0	1.33333337306976	2.33333325386047	2.59999990463257	2.77777767181397	3	1.79999995231628	17.4452056884766
