id i1 i2 i3 i4 i5 i6 i7 X
301 1 1 1 1 0 0 1 5
302 1 1 1 1 0 1 0 5
303 1 1 1 1 1 1 1 7
304 1 1 1 1 1 1 1 7
305 1 1 1 1 1 1 0 6
306 1 1 1 1 1 0 0 5
307 1 1 0 1 0 1 0 4
308 1 1 0 1 1 0 0 4
309 1 1 1 1 1 1 0 6
310 1 1 1 1 1 1 0 6
311 1 1 0 1 0 1 0 4
312 1 1 1 1 1 1 1 7
313 1 1 1 1 0 0 0 4
314 1 1 1 0 1 0 1 5
315 1 1 1 0 0 1 0 4
316 1 1 1 1 1 0 0 5
317 1 1 1 1 1 0 0 5
318 1 1 1 1 0 1 0 5
319 1 1 1 1 0 1 0 5
320 1 1 1 1 0 1 0 5
321 1 1 1 0 0 1 0 4
322 1 1 1 1 0 1 1 6
323 1 1 1 1 1 0 0 5
324 1 1 1 1 1 1 0 6
325 1 1 0 0 1 1 0 4
326 1 1 1 1 0 1 1 6
327 1 1 1 1 0 0 1 5
328 1 1 0 1 0 0 1 4
329 1 1 1 1 1 1 1 7
330 1 1 1 1 1 0 0 5
331 1 1 0 1 0 1 0 4
332 1 1 1 1 0 1 1 6
333 1 1 1 1 0 0 0 4
334 1 0 1 0 0 0 0 2
335 1 1 1 1 1 1 1 7
336 1 1 1 1 1 1 0 6
337 1 1 1 1 0 1 0 5
338 1 1 0 0 1 1 1 5
339 1 1 1 1 0 0 0 4
340 1 1 0 1 0 1 1 5
341 1 1 1 0 1 0 1 5
342 1 1 1 1 1 0 0 5
343 1 1 1 1 1 0 0 5
344 1 1 1 0 1 0 0 4
345 1 1 1 1 1 1 1 7
346 1 0 1 1 0 1 0 4
347 1 1 0 1 0 0 0 3
348 1 1 0 1 1 1 0 5
349 1 1 1 1 0 0 1 5
350 1 1 1 1 1 1 0 6
351 0 1 1 0 1 0 1 4
352 1 1 0 1 1 0 0 4
353 1 1 1 1 1 1 0 6
354 1 0 1 1 0 1 0 4
355 1 1 1 1 0 1 0 5
356 1 1 0 1 1 0 0 4
357 1 1 1 1 1 1 0 6
358 1 1 0 1 1 0 1 5
359 1 1 1 1 1 0 0 5
360 1 0 0 1 1 1 0 4
361 1 1 0 1 1 1 0 5
362 1 1 1 1 0 0 0 4
363 1 1 1 1 0 1 0 5
364 1 1 0 0 0 0 0 2
365 1 1 1 0 0 0 0 3
366 0 1 1 1 1 0 0 4
367 1 1 0 0 0 1 1 4
368 1 1 1 1 0 0 0 4
369 1 1 1 1 0 1 1 6
370 1 1 0 1 1 0 1 5
371 1 1 1 1 1 1 1 7
372 1 1 1 1 1 0 1 6
373 1 1 1 0 1 0 0 4
374 1 1 1 1 1 0 1 6
375 1 1 1 0 0 0 0 3
376 1 1 1 0 1 1 1 6
377 1 1 1 1 1 0 0 5
378 1 1 1 1 1 1 0 6
379 1 1 1 1 1 1 0 6
380 1 1 1 1 1 1 1 7
381 1 1 0 1 1 1 0 5
382 1 1 1 1 0 1 0 5
383 1 1 1 1 1 0 1 6
384 1 1 1 1 1 0 0 5
385 1 1 0 1 1 1 1 6
386 1 1 1 1 0 1 0 5
387 1 1 1 1 1 0 0 5
388 1 1 1 1 0 0 1 5
389 1 1 1 1 1 0 0 5
390 1 1 0 1 1 1 0 5
391 1 1 1 1 0 1 0 5
392 1 1 1 0 0 1 0 4
393 1 1 1 1 1 1 0 6
394 1 1 1 1 1 0 1 6
395 1 1 1 1 1 0 0 5
396 1 1 1 0 0 0 0 3
397 1 1 1 0 1 0 0 4
398 1 1 1 1 0 0 1 5
399 1 1 1 1 0 0 1 5
400 1 1 1 1 1 1 0 6
401 1 1 0 1 1 1 1 6
402 1 1 1 1 1 0 1 6
403 1 1 1 1 0 1 1 6
404 1 1 1 1 1 1 0 6
405 1 1 0 1 0 1 1 5
406 1 1 1 1 1 1 1 7
407 1 1 1 0 0 1 1 5
408 1 1 0 1 1 0 1 5
409 1 1 1 0 1 0 0 4
410 1 1 0 1 1 0 0 4
411 1 1 1 1 0 0 0 4
412 1 1 1 1 1 1 0 6
413 1 1 1 1 0 1 0 5
414 1 1 0 1 1 1 0 5
415 1 1 0 0 0 1 0 3
416 1 1 1 0 1 1 1 6
417 1 1 1 1 1 0 0 5
418 1 0 1 1 1 1 1 6
419 1 1 1 1 1 1 0 6
420 1 1 0 1 1 1 0 5
421 1 1 0 1 1 0 0 4
422 1 1 1 1 1 0 0 5
423 1 1 1 1 1 1 0 6
424 1 1 1 1 0 0 0 4
425 1 1 0 1 1 0 1 5
426 1 1 1 0 0 0 0 3
427 1 1 1 0 0 1 0 4
428 1 0 1 1 1 0 0 4
429 1 1 1 1 1 0 0 5
430 1 1 1 1 1 0 0 5
431 1 1 1 1 0 0 0 4
432 1 1 1 1 1 1 0 6
433 1 1 1 0 0 1 1 5
434 1 1 0 1 0 0 0 3
435 1 1 1 1 1 0 0 5
436 1 1 1 1 1 0 0 5
437 1 1 1 0 0 1 0 4
438 1 1 1 1 0 1 1 6
439 1 1 1 1 0 1 0 5
440 1 1 1 0 0 0 1 4
441 1 1 1 1 0 1 0 5
442 1 1 1 1 0 1 0 5
443 1 1 0 1 0 1 0 4
444 1 1 1 1 0 1 1 6
445 1 1 1 0 0 1 0 4
446 1 1 1 0 0 0 0 3
447 1 1 1 0 1 1 1 6
448 1 1 0 1 1 1 0 5
449 1 1 1 0 1 1 1 6
450 1 1 0 0 1 0 1 4
451 1 1 1 1 0 0 1 5
452 1 1 1 1 1 0 0 5
453 1 1 1 0 1 1 0 5
454 1 1 1 1 1 0 0 5
455 1 1 1 0 1 0 1 5
456 1 1 0 1 0 0 0 3
457 1 1 1 1 1 0 0 5
458 1 1 0 1 0 1 1 5
459 1 1 0 1 0 0 1 4
460 1 1 1 1 0 0 1 5
461 0 1 1 1 1 1 0 5
462 1 1 1 1 1 1 0 6
463 1 1 1 0 1 1 0 5
464 1 1 1 1 1 0 0 5
465 1 1 1 1 0 1 1 6
466 1 1 1 0 1 1 0 5
467 0 1 0 1 1 0 0 3
468 1 1 1 1 1 1 1 7
469 1 1 0 1 0 0 0 3
470 1 1 1 0 1 0 0 4
471 1 0 1 1 1 0 0 4
472 1 1 0 0 1 0 1 4
473 1 0 1 1 1 1 0 5
474 1 1 1 1 1 0 1 6
475 1 1 0 1 0 0 1 4
476 1 1 1 0 1 1 1 6
477 1 1 0 1 0 1 0 4
478 1 1 1 1 0 1 1 6
479 1 1 0 1 1 0 1 5
480 1 1 1 0 1 0 1 5
481 1 1 1 0 1 1 1 6
482 1 1 1 0 1 0 0 4
483 1 1 1 0 0 0 0 3
484 1 1 1 0 1 1 1 6
485 1 1 0 1 1 1 0 5
486 1 1 1 1 0 1 0 5
487 1 1 0 1 1 1 0 5
488 0 1 1 1 1 0 0 4
489 1 1 1 1 1 1 0 6
490 1 1 1 1 0 1 0 5
491 1 1 1 1 0 0 0 4
492 1 1 1 1 1 1 0 6
493 1 0 1 0 0 1 1 4
494 1 1 1 0 0 0 0 3
495 1 0 1 1 0 1 0 4
496 1 1 1 1 0 0 0 4
497 1 1 1 1 1 1 0 6
498 1 1 0 1 1 0 1 5
499 1 1 0 1 1 0 0 4
500 1 1 1 0 0 1 0 4
501 1 1 0 0 1 0 1 4
502 1 1 1 1 1 1 1 7
503 1 1 1 1 1 0 1 6
504 1 1 1 1 0 1 0 5
505 1 1 1 1 0 0 0 4
506 1 1 1 1 1 1 0 6
507 1 1 1 1 0 0 0 4
508 0 1 1 0 1 0 0 3
509 1 1 1 0 0 0 0 3
510 1 1 1 1 0 1 0 5
511 1 1 1 1 0 1 0 5
512 1 1 1 1 0 0 0 4
513 1 1 1 1 1 1 1 7
514 1 1 0 0 0 1 0 3
515 1 1 1 1 1 1 0 6
516 1 1 1 1 0 1 0 5
517 1 1 1 1 1 1 0 6
518 1 1 1 1 1 1 1 7
519 1 1 1 1 1 1 0 6
520 1 1 1 0 0 1 0 4
521 1 1 1 1 1 1 0 6
522 1 1 1 1 1 0 1 6
523 1 1 1 1 1 0 0 5
524 1 1 1 1 1 0 1 6
525 1 1 1 1 1 1 0 6
526 1 1 1 1 1 1 0 6
527 1 1 0 1 1 1 0 5
528 1 1 1 1 1 1 1 7
529 1 1 1 1 1 1 1 7
530 1 1 1 0 1 1 0 5
531 1 1 0 0 0 1 0 3
532 0 1 1 1 1 1 0 5
533 1 1 1 1 1 1 0 6
534 1 1 1 1 0 1 0 5
535 1 1 1 1 0 0 0 4
536 1 1 1 1 0 1 0 5
537 1 1 0 1 0 1 0 4
538 1 1 1 0 1 1 0 5
539 1 1 1 1 0 1 1 6
540 1 1 1 1 0 0 1 5
541 1 1 1 1 0 0 1 5
542 1 1 1 0 1 0 0 4
543 1 1 1 1 1 1 0 6
544 1 1 1 1 0 1 1 6
545 0 1 1 1 1 0 0 4
546 0 1 1 1 0 1 1 5
547 1 1 0 1 1 1 0 5
548 1 1 1 0 0 0 0 3
549 1 1 0 1 1 1 0 5
550 1 1 0 1 0 1 0 4
551 1 1 1 0 1 1 0 5
552 1 1 0 1 1 1 1 6
553 1 1 0 1 0 1 0 4
554 1 1 1 1 1 0 0 5
555 1 1 1 0 0 1 0 4
556 1 0 1 1 0 0 0 3
557 0 1 1 1 0 0 1 4
558 1 1 0 0 0 1 1 4
559 1 1 1 1 1 0 1 6
560 1 1 1 1 1 1 0 6
561 1 1 0 1 0 0 0 3
562 1 1 1 1 1 1 1 7
563 1 1 1 1 1 0 0 5
564 1 1 1 1 1 0 0 5
565 1 1 1 1 1 1 0 6
566 1 1 1 0 1 0 1 5
567 0 1 1 1 1 0 1 5
568 1 1 1 1 0 0 1 5
569 1 1 1 1 1 0 1 6
570 1 1 1 1 1 0 0 5
571 1 1 1 1 1 0 0 5
572 1 1 1 1 1 1 0 6
573 1 1 0 1 1 0 0 4
574 1 0 1 0 0 0 0 2
575 1 1 1 1 1 1 1 7
576 1 0 1 1 1 1 0 5
577 1 0 1 1 0 1 0 4
578 1 1 1 1 1 1 0 6
579 1 1 1 0 0 1 0 4
580 1 1 0 1 0 1 0 4
581 1 1 1 1 0 1 0 5
582 1 1 0 1 1 0 1 5
583 1 1 1 0 1 0 0 4
584 1 1 0 1 1 0 1 5
585 1 1 1 0 1 0 1 5
586 1 1 1 1 1 1 1 7
587 1 1 1 1 0 1 1 6
588 1 1 1 1 1 1 0 6
589 1 1 1 1 0 0 0 4
590 1 0 1 1 1 0 0 4
591 1 1 1 1 1 1 0 6
592 1 1 0 1 0 0 1 4
593 1 1 1 1 1 1 1 7
594 1 1 1 0 1 1 1 6
595 0 1 1 0 0 1 0 3
596 1 1 1 0 1 1 0 5
597 1 1 1 1 0 1 1 6
598 1 1 1 1 0 0 0 4
599 1 1 1 0 1 0 0 4
600 1 1 1 0 1 0 1 5
601 1 1 1 0 0 0 0 3
602 1 1 1 1 1 0 1 6
603 1 1 1 1 1 0 0 5
604 1 1 1 1 0 1 1 6
605 1 1 0 1 1 0 0 4
606 1 1 1 1 1 1 1 7
607 1 1 1 1 1 0 0 5
608 0 1 0 0 1 0 0 2
609 1 1 1 1 0 0 0 4
610 0 1 1 0 0 1 0 3
611 1 1 1 1 1 1 0 6
612 1 1 0 1 1 0 0 4
613 1 1 1 1 1 1 0 6
614 1 1 1 0 1 1 0 5
615 1 1 1 1 0 1 0 5
616 1 1 1 0 1 0 0 4
617 1 1 1 0 0 1 0 4
618 1 1 0 1 0 0 0 3
619 1 1 1 1 1 0 0 5
620 1 1 1 1 1 0 0 5
621 1 1 1 0 0 1 1 5
622 1 1 1 1 0 0 1 5
623 1 1 1 1 1 0 0 5
624 1 1 0 1 1 1 0 5
625 1 1 1 0 0 0 0 3
626 1 1 1 1 1 0 0 5
627 1 1 0 1 0 0 0 3
628 1 1 1 1 0 0 0 4
629 1 0 1 1 0 0 0 3
630 1 1 1 1 0 0 1 5
631 1 1 1 0 1 0 0 4
632 1 1 0 1 1 0 0 4
633 1 1 1 1 0 1 0 5
634 1 1 1 1 0 1 0 5
635 1 1 0 1 1 0 0 4
636 1 1 1 1 0 1 1 6
637 1 1 1 1 1 1 0 6
638 1 1 1 1 0 0 1 5
639 1 1 1 1 1 0 0 5
640 1 1 0 1 1 1 0 5
641 1 1 1 1 1 0 1 6
642 0 1 0 1 0 0 0 2
643 1 0 1 1 1 1 0 5
644 1 1 0 1 1 1 0 5
645 1 0 0 1 1 1 0 4
646 1 1 1 1 1 1 0 6
647 1 1 1 1 0 0 1 5
648 1 1 0 1 1 0 0 4
649 1 1 1 1 1 1 1 7
650 1 1 1 0 1 0 0 4
651 1 1 1 1 0 0 0 4
652 1 1 0 0 0 0 1 3
653 1 1 1 1 1 0 0 5
654 1 1 1 1 0 0 0 4
655 1 1 1 1 1 0 1 6
656 1 1 0 0 1 0 0 3
657 1 1 1 1 1 0 0 5
658 1 0 1 1 0 1 0 4
659 1 1 1 1 0 1 1 6
660 1 0 1 0 1 0 0 3
661 1 1 0 1 0 0 1 4
662 1 1 1 1 1 0 0 5
663 1 1 1 1 1 0 0 5
664 1 1 0 1 1 1 1 6
665 1 1 1 1 1 0 1 6
666 1 1 1 1 1 1 0 6
667 1 1 1 1 1 1 0 6
668 1 1 0 1 1 1 0 5
669 1 1 1 1 1 1 0 6
670 1 1 1 1 0 1 0 5
671 1 1 1 1 1 1 1 7
672 1 1 1 1 1 1 1 7
673 1 1 1 0 1 0 0 4
674 1 1 1 1 1 1 0 6
675 1 1 1 1 0 1 1 6
676 1 1 0 1 1 0 1 5
677 1 1 1 1 0 0 0 4
678 1 1 1 1 1 0 1 6
679 1 0 1 1 1 0 0 4
680 1 1 0 0 0 1 0 3
681 1 1 1 1 0 0 0 4
682 1 1 1 1 1 0 0 5
683 1 1 0 1 1 1 0 5
684 1 1 0 0 0 0 0 2
685 1 1 1 1 0 0 1 5
686 1 1 1 1 0 1 0 5
687 1 1 0 1 1 1 1 6
688 1 1 1 1 0 1 0 5
689 1 1 0 1 0 0 1 4
690 1 1 1 1 0 0 0 4
691 1 1 1 1 1 1 1 7
692 1 1 0 1 1 1 1 6
693 1 0 1 1 1 1 0 5
694 1 1 1 1 1 0 0 5
695 1 1 1 1 0 1 0 5
696 1 0 0 1 1 1 0 4
697 1 1 1 1 0 1 1 6
698 1 1 1 1 0 1 0 5
699 1 1 0 1 1 1 1 6
700 1 1 1 1 1 1 0 6
701 1 1 1 1 1 0 1 6
702 1 1 1 1 1 1 0 6
703 1 1 1 1 1 1 0 6
704 1 1 1 1 0 0 0 4
705 1 1 0 1 1 1 1 6
706 1 1 1 0 1 0 1 5
707 1 1 1 1 1 0 0 5
708 1 1 1 0 0 1 0 4
709 1 1 1 1 1 0 1 6
710 1 0 0 1 1 0 0 3
711 1 1 1 1 0 1 0 5
712 1 1 0 1 0 0 1 4
713 1 1 1 1 0 1 0 5
714 1 1 1 1 1 1 0 6
715 1 1 1 1 1 1 0 6
716 1 1 0 1 0 0 0 3
717 1 1 0 0 1 1 0 4
718 1 1 1 1 0 0 0 4
719 1 1 0 1 1 1 1 6
720 1 1 1 1 1 1 0 6
721 1 1 1 1 1 0 0 5
722 1 1 1 1 0 0 0 4
723 1 1 1 1 0 0 0 4
724 1 1 0 0 1 1 0 4
725 0 1 1 1 0 0 1 4
726 1 0 1 0 1 0 1 4
727 1 1 1 1 1 0 0 5
728 1 1 1 1 1 1 1 7
729 1 1 0 1 0 1 1 5
730 1 1 1 1 1 1 1 7
731 1 1 1 1 0 1 0 5
732 1 1 1 1 0 0 0 4
733 1 1 1 1 0 0 1 5
734 1 1 1 1 0 0 0 4
735 1 1 1 0 0 1 0 4
736 1 1 0 1 1 1 1 6
737 1 1 1 1 0 0 0 4
738 1 1 1 1 1 1 0 6
739 1 1 0 1 1 1 1 6
740 1 1 1 1 0 1 0 5
741 1 1 0 0 1 1 0 4
742 1 1 1 0 0 1 1 5
743 1 1 0 1 1 1 1 6
744 1 1 0 1 1 1 1 6
745 1 1 1 0 1 0 0 4
746 1 1 1 1 0 1 0 5
747 1 1 1 1 0 0 1 5
748 1 1 1 0 1 1 0 5
749 1 1 0 1 0 1 0 4
750 1 1 1 0 1 1 0 5
751 1 1 0 1 1 1 1 6
752 1 1 1 1 1 1 1 7
753 1 1 1 1 0 0 0 4
754 1 1 1 1 1 0 1 6
755 1 1 1 1 1 1 0 6
756 1 1 1 1 1 1 0 6
757 1 1 1 1 1 0 1 6
758 1 1 1 0 0 0 1 4
759 1 1 1 1 1 1 0 6
760 1 1 1 1 0 1 0 5
761 0 0 1 1 1 0 0 3
762 1 1 1 0 1 1 0 5
763 0 1 1 1 1 0 1 5
764 1 1 1 1 1 1 1 7
765 1 1 0 1 1 1 0 5
766 1 1 1 0 0 1 0 4
767 1 1 1 1 0 0 0 4
768 1 1 0 1 1 0 0 4
769 1 1 0 0 0 1 1 4
770 1 0 1 0 1 1 0 4
771 1 1 1 0 0 0 1 4
772 1 1 1 1 0 0 0 4
773 1 1 1 1 1 0 0 5
