"ID"	"Gender"	"Language"	"Item"	"Problem"	"Y"	"RT"	"Ysub"	"RTsub"	"Ytot"	"RTtot"
6	"Male"	"FR"	18	"5"	0	18	NA	NA	NA	NA
6	"Male"	"FR"	19	"5"	0	59	NA	NA	NA	NA
6	"Male"	"FR"	20	"5"	0	0	NA	NA	NA	NA
6	"Male"	"FR"	21	"6"	0	0	NA	NA	NA	NA
7	"Female"	"FR"	1	"1"	0	149	1	299	12	796
7	"Female"	"FR"	2	"1"	1	92	4	311	12	796
7	"Female"	"FR"	3	"1"	0	27	3	186	12	796
7	"Female"	"FR"	4	"1"	0	31	2	0	12	796
7	"Female"	"FR"	5	"2"	1	129	1	0	12	796
7	"Female"	"FR"	6	"2"	1	33	1	0	12	796
7	"Female"	"FR"	7	"2"	1	39	NA	NA	NA	NA
7	"Female"	"FR"	8	"2"	1	110	NA	NA	NA	NA
7	"Female"	"FR"	9	"3"	1	102	NA	NA	NA	NA
7	"Female"	"FR"	10	"3"	1	65	NA	NA	NA	NA
7	"Female"	"FR"	11	"3"	0	11	NA	NA	NA	NA
7	"Female"	"FR"	12	"3"	1	8	NA	NA	NA	NA
7	"Female"	"FR"	13	"4"	0	0	NA	NA	NA	NA
7	"Female"	"FR"	14	"4"	1	0	NA	NA	NA	NA
7	"Female"	"FR"	15	"4"	0	0	NA	NA	NA	NA
7	"Female"	"FR"	16	"4"	1	0	NA	NA	NA	NA
7	"Female"	"FR"	17	"5"	0	0	NA	NA	NA	NA
7	"Female"	"FR"	18	"5"	1	0	NA	NA	NA	NA
7	"Female"	"FR"	19	"5"	0	0	NA	NA	NA	NA
7	"Female"	"FR"	20	"5"	0	0	NA	NA	NA	NA
7	"Female"	"FR"	21	"6"	1	0	NA	NA	NA	NA
8	"Unknown"	"NL"	1	"1"	0	67	1	178	11	526
8	"Unknown"	"NL"	2	"1"	1	37	3	156	11	526
8	"Unknown"	"NL"	3	"1"	0	42	3	69	11	526
8	"Unknown"	"NL"	4	"1"	0	32	3	123	11	526
8	"Unknown"	"NL"	5	"2"	0	74	1	0	11	526
8	"Unknown"	"NL"	6	"2"	1	36	0	0	11	526
8	"Unknown"	"NL"	7	"2"	1	29	NA	NA	NA	NA
8	"Unknown"	"NL"	8	"2"	1	17	NA	NA	NA	NA
8	"Unknown"	"NL"	9	"3"	1	24	NA	NA	NA	NA
8	"Unknown"	"NL"	10	"3"	1	14	NA	NA	NA	NA
8	"Unknown"	"NL"	11	"3"	0	19	NA	NA	NA	NA
8	"Unknown"	"NL"	12	"3"	1	12	NA	NA	NA	NA
8	"Unknown"	"NL"	13	"4"	1	49	NA	NA	NA	NA
8	"Unknown"	"NL"	14	"4"	1	33	NA	NA	NA	NA
8	"Unknown"	"NL"	15	"4"	0	23	NA	NA	NA	NA
8	"Unknown"	"NL"	16	"4"	1	18	NA	NA	NA	NA
8	"Unknown"	"NL"	17	"5"	0	0	NA	NA	NA	NA
8	"Unknown"	"NL"	18	"5"	0	0	NA	NA	NA	NA
8	"Unknown"	"NL"	19	"5"	0	0	NA	NA	NA	NA
8	"Unknown"	"NL"	20	"5"	1	0	NA	NA	NA	NA
8	"Unknown"	"NL"	21	"6"	0	0	NA	NA	NA	NA
9	"Male"	"NL"	1	"1"	0	205	1	418	11	886
9	"Male"	"NL"	2	"1"	1	107	2	298	11	886
9	"Male"	"NL"	3	"1"	0	27	3	170	11	886
9	"Male"	"NL"	4	"1"	0	79	4	0	11	886
9	"Male"	"NL"	5	"2"	0	136	1	0	11	886
9	"Male"	"NL"	6	"2"	0	64	0	0	11	886
9	"Male"	"NL"	7	"2"	1	60	NA	NA	NA	NA
9	"Male"	"NL"	8	"2"	1	38	NA	NA	NA	NA
9	"Male"	"NL"	9	"3"	1	60	NA	NA	NA	NA
9	"Male"	"NL"	10	"3"	1	24	NA	NA	NA	NA
9	"Male"	"NL"	11	"3"	0	51	NA	NA	NA	NA
9	"Male"	"NL"	12	"3"	1	35	NA	NA	NA	NA
9	"Male"	"NL"	13	"4"	1	0	NA	NA	NA	NA
9	"Male"	"NL"	14	"4"	1	0	NA	NA	NA	NA
9	"Male"	"NL"	15	"4"	1	0	NA	NA	NA	NA
9	"Male"	"NL"	16	"4"	1	0	NA	NA	NA	NA
9	"Male"	"NL"	17	"5"	0	0	NA	NA	NA	NA
