"ID" "IDproblem" "Language" "Gender" "Item" "Y" "RT" "problem" "Y.sub" "RT.sub" "Y.tot" "RT.tot"
"369" 18 183 "FR" "M" 12 1 10 3 3 80 15 654
"370" 18 184 "FR" "M" 13 0 97 4 3 155 15 654
"371" 18 184 "FR" "M" 14 1 37 4 3 155 15 654
"372" 18 184 "FR" "M" 15 1 14 4 3 155 15 654
"373" 18 184 "FR" "M" 16 1 7 4 3 155 15 654
"374" 18 185 "FR" "M" 17 1 105 5 3 170 15 654
"375" 18 185 "FR" "M" 18 0 29 5 3 170 15 654
"376" 18 185 "FR" "M" 19 1 15 5 3 170 15 654
"377" 18 185 "FR" "M" 20 1 21 5 3 170 15 654
"378" 18 186 "FR" "M" 21 NA NA 6 NA NA 15 654
"379" 19 191 "NL" "M" 1 0 123 1 2 295 7 653
"380" 19 191 "NL" "M" 2 1 64 1 2 295 7 653
"381" 19 191 "NL" "M" 3 1 36 1 2 295 7 653
"382" 19 191 "NL" "M" 4 0 72 1 2 295 7 653
"383" 19 192 "NL" "M" 5 0 69 2 2 215 7 653
"384" 19 192 "NL" "M" 6 1 40 2 2 215 7 653
"385" 19 192 "NL" "M" 7 1 49 2 2 215 7 653
"386" 19 192 "NL" "M" 8 0 57 2 2 215 7 653
"387" 19 193 "NL" "M" 9 1 26 3 3 143 7 653
"388" 19 193 "NL" "M" 10 1 44 3 3 143 7 653
"389" 19 193 "NL" "M" 11 0 54 3 3 143 7 653
"390" 19 193 "NL" "M" 12 1 19 3 3 143 7 653
"391" 19 194 "NL" "M" 13 NA NA 4 NA NA 7 653
"392" 19 194 "NL" "M" 14 NA NA 4 NA NA 7 653
"393" 19 194 "NL" "M" 15 NA NA 4 NA NA 7 653
"394" 19 194 "NL" "M" 16 NA NA 4 NA NA 7 653
"395" 19 195 "NL" "M" 17 NA NA 5 NA NA 7 653
"396" 19 195 "NL" "M" 18 NA NA 5 NA NA 7 653
"397" 19 195 "NL" "M" 19 NA NA 5 NA NA 7 653
"398" 19 195 "NL" "M" 20 NA NA 5 NA NA 7 653
